Reef,Year,B,P,n_transects,Degree,Region,C_ann,C_warm,mhw_days,mhw_cum,lB,lP,lB_c,C,YearF
ESPIRITU_SANTO_PARTIDA_NORESTE,2025,27750.0476858487,31.3089315875679,4,25,La Paz,0.682695321788571,0.70775362318839,149,85.6188,10.2309928375821,3.44390341107573,0.632979180907734,0.452725866429422,2025
ESPIRITU_SANTO_PUNTA_LOBOS,1998,24639.7977079828,25.2763245447156,5,24,La Paz,0.798670509175499,0.833043478260874,122,68.9853,10.1121182077105,3.22986816886342,0.514104551036128,0.578015721501906,1998
ESPIRITU_SANTO_PUNTA_LOBOS,1999,24946.7964290459,24.7011743339536,5,24,La Paz,-0.253411682605322,-0.140706521739127,0,0,10.1245006932983,3.20685078638852,0.526487036623953,-0.395734278498095,1999
ESPIRITU_SANTO_PUNTA_LOBOS,2000,18083.202144703,12.2754255397212,4,24,La Paz,-0.19420225023198,-0.0663586956521703,21,6.7917,9.80273872803748,2.50759934026675,0.204725071363148,-0.321386452411138,2000
ESPIRITU_SANTO_PUNTA_LOBOS,2001,28266.8169035102,19.5420662435994,5,24,La Paz,-0.770288394934088,-0.936032608695648,2,0.661000000000001,10.2494438480804,2.97256938532295,0.651430191406099,-1.19106036545462,2001
ESPIRITU_SANTO_PUNTA_LOBOS,2002,18570.2919674407,9.12150561473656,5,24,La Paz,-0.442206203153267,-0.408858695652169,13,2.0126,9.82931837675631,2.21063487979565,0.231304720081976,-0.663886452411137,2002
ESPIRITU_SANTO_PUNTA_LOBOS,2003,26448.1413019692,16.4135098261838,4,24,La Paz,-0.168069216851897,-0.524673913043474,10,4.6622,10.18294116268,2.79810476560722,0.584927506005638,-0.779701669802442,2003
ESPIRITU_SANTO_PUNTA_LOBOS,2004,4032.02995989575,8.0065505516468,3,24,La Paz,-0.106360720177335,0.236521739130439,0,0,8.3020252402533,2.08026002558633,-1.29598841642103,-0.0185060176285287,2004
ESPIRITU_SANTO_PUNTA_LOBOS,2006,18344.5966745109,18.8390754367756,3,24,La Paz,0.21508146807961,0.569021739130439,59,24.6952,9.81709035096639,2.9359331934629,0.219076694292058,0.313993982371471,2006
ESPIRITU_SANTO_PUNTA_LOBOS,2007,25260.623567573,28.0585642422451,4,24,La Paz,-0.767877436029979,-1.06152173913043,0,0,10.1370020815686,3.33429390594701,0.538988424894299,-1.3165494958894,2007
ESPIRITU_SANTO_PUNTA_LOBOS,2008,25836.6398303849,23.6779587967789,4,24,La Paz,-0.527016457882253,-0.245380434782605,11,3.81170000000001,10.1595489119171,3.16454460684007,0.561535255242788,-0.500408191541573,2008
